NRBTS_Name,LNBTS_Name,DN,ALARM_TIME,CANCEL_TIME,ALARM_NUMBER,TEXT,SUPPLEMENTARY_INFO
BOG.Pradera,BOG.Pradera,PLMN-PLMN/MRBTS-931/LNBTS-931/LNADJGNB-0,2024-02-12 04:48:15,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BAR.Exito-2 (P2),BAR.Exito-2 (P2),PLMN-PLMN/MRBTS-787361/LNBTS-787361/LNADJGNB-0,2024-02-13 17:14:06,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BAR.Exito,BAR.Exito-2 (P2),PLMN-PLMN/MRBTS-787361/LNBTS-787361/LNADJGNB-0,2024-02-13 17:14:06,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
CAL.Campina,CAL.Campina,PLMN-PLMN/MRBTS-611816/LNBTS-611816/LNADJGNB-0,2024-02-07 15:25:53,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
CAL.14 Pasoancho,CAL.14 Pasoancho,PLMN-PLMN/MRBTS-613903/LNBTS-613903/LNADJGNB-0,2024-02-13 02:06:55,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Pradera,BOG.Pradera,PLMN-PLMN/MRBTS-3806/LNBTS-3806,2024-02-11 00:42:12,,7657,BASE STATION CONNECTIVITY DEGRADED,Setup of X2 connectivity to gNB failed
MED.Esmeraldal Flores:H1,MED.Esmeraldal Flores:H1,PLMN-PLMN/MRBTS-525498/LNBTS-525498,2024-02-09 21:13:12,,7412,EXTERNAL AL 12.,OVP PARALELO LOWER
BOG.Alcazares,BOG.Alcazares,PLMN-PLMN/MRBTS-349/LNBTS-349/LNADJGNB-0,2024-02-10 10:50:31,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Benjamin Herrera-2,BOG.Benjamin Herrera-2,PLMN-PLMN/MRBTS-355/LNBTS-355/LNADJGNB-0,2024-02-13 18:19:46,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Carrera 7,BOG.Carrera 7,PLMN-PLMN/MRBTS-2202/LNBTS-2202/LNADJGNB-0,2024-02-13 11:25:01,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Cabrera 86:H1,BOG.Cabrera 86:H1,PLMN-PLMN/MRBTS-9410/LNBTS-9410/LNADJGNB-0,2024-02-12 01:02:59,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
CAR.Getsemani,CAR.Getsemani,PLMN-PLMN/MRBTS-786577/LNBTS-786577/LNADJGNB-0,2024-02-09 17:20:13,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.La Salle-2,BOG.La Salle-2,PLMN-PLMN/MRBTS-2490/LNBTS-2490/LNADJGNB-0,2024-02-10 12:19:20,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Gran America,BOG.Gran America,PLMN-PLMN/MRBTS-460/LNBTS-460/LNADJGNB-0,2024-02-12 10:43:54,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.San Francisco,BOG.San Francisco,PLMN-PLMN/MRBTS-332/LNBTS-332/LNADJGNB-0,2024-02-12 13:17:58,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Av Americas,BOG.Av Americas,PLMN-PLMN/MRBTS-5783/LNBTS-5783/LNADJGNB-0,2024-02-09 15:24:11,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Consuelo,BOG.Consuelo,PLMN-PLMN/MRBTS-712/LNBTS-712/LNADJGNB-0,2024-02-10 14:45:28,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Ministerio,BOG.Ministerio,PLMN-PLMN/MRBTS-469/LNBTS-469/LNADJGNB-0,2024-02-13 17:00:55,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BAR.Makro,BAR.Makro,PLMN-PLMN/MRBTS-789925/LNBTS-789925,2024-02-13 15:39:09,,7107,BASE STATION CONNECTIVITY PROBLEM,Inter-Site CA link establishment failure
BAR.Makro,BAR.Makro,PLMN-PLMN/MRBTS-789925/LNBTS-789925/LNADJGNB-0,2024-02-13 15:42:13,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Armenia,BOG.Armenia,PLMN-PLMN/MRBTS-412/LNBTS-412/LNADJGNB-0,2024-02-13 13:11:06,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
CAL.Oeste,CAL.Oeste,PLMN-PLMN/MRBTS-611931/LNBTS-611931/LNADJGNB-0,2024-02-12 18:20:33,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
,BOG.Colfecar,PLMN-PLMN/MRBTS-10598/LNBTS-10598/LNADJGNB-0,2024-02-10 11:21:00,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BAR.Cumbre,BAR.Cumbre,PLMN-PLMN/MRBTS-788613/LNBTS-788613,2024-02-13 16:30:02,,7107,BASE STATION CONNECTIVITY PROBLEM,Inter-Site CA link establishment failure
