Date,Site,NR_5152a,cluster
2024-02-19 19:00:00,BOG.Royal-3,0.0,BOG
2024-02-19 19:00:00,BOG.Quinta Camacho-2,0.0,BOG
2024-02-19 19:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-19 19:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-19 19:00:00,BOG.Rincon Modelia,75.0,BOG
2024-02-19 19:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-19 20:00:00,BOG.El Rubi,79.90529742527374,BOG
2024-02-19 20:00:00,BOG.La Magdalena-2,93.69444444444444,BOG
2024-02-19 20:00:00,BOG.La Merced,93.63888888888889,BOG
2024-02-19 20:00:00,BOG.Federman,92.74305555555556,BOG
2024-02-19 20:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-19 20:00:00,BOG.Royal-3,0.0,BOG
2024-02-19 20:00:00,BOG.Recuerdo,93.86805555555556,BOG
2024-02-19 20:00:00,BOG.Rincon Modelia,75.0,BOG
2024-02-19 20:00:00,BOG.Andino-1,97.72222222222224,BOG
2024-02-19 20:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-19 20:00:00,BOG.Quinta Camacho-2,57.21864342553998,BOG
2024-02-19 20:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-19 20:00:00,BOG.Lourdes-1,95.69444444444444,BOG
2024-02-19 20:00:00,BOG.Paloquemao-2,91.25,BOG
2024-02-19 20:00:00,BOG.Palermo,97.64583333333331,BOG
2024-02-19 21:00:00,BOG.Santa Ana,97.73148148148148,BOG
2024-02-19 21:00:00,BOG.La Calleja,97.02777777777776,BOG
2024-02-19 21:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-19 21:00:00,BOG.Rincon Modelia,75.0,BOG
2024-02-19 21:00:00,BOG.Profamilia,96.0925925925926,BOG
2024-02-19 21:00:00,BOG.Gobernacion,93.86111111111111,BOG
2024-02-19 21:00:00,BOG.Santafe,94.27777777777776,BOG
2024-02-19 21:00:00,BOG.RB Calle 86-2:H3,93.75925925925924,BOG
2024-02-19 21:00:00,BOG.La Salle-2,98.65277777777776,BOG
2024-02-19 21:00:00,BOG.El Rubi,93.91666666666669,BOG
2024-02-19 21:00:00,BOG.Quinta Camacho-2,92.75453496906783,BOG
2024-02-19 21:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-19 21:00:00,BOG.7 de Agosto,91.82407407407408,BOG
2024-02-19 21:00:00,BOG.Royal-3,0.0,BOG
2024-02-19 21:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-20 06:00:00,BOG.Retiro-2,98.24074074074076,BOG
2024-02-20 06:00:00,BOG.Arqueologico,0.0,BOG
2024-02-20 06:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-20 06:00:00,BOG.Andino-1,92.75,BOG
2024-02-20 06:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-20 06:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-20 06:00:00,BOG.Royal-3,0.0,BOG
2024-02-20 06:00:00,BOG.Rincon Modelia,75.0,BOG
2024-02-20 07:00:00,BOG.Rincon Modelia,75.0,BOG
2024-02-20 07:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-20 07:00:00,BOG.Royal-3,0.0,BOG
2024-02-20 07:00:00,BOG.Andino-1,85.73722627737226,BOG
2024-02-20 07:00:00,BOG.Lourdes-1,95.97186700767264,BOG
2024-02-20 07:00:00,BOG.Arqueologico,0.0,BOG
2024-02-20 07:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-20 07:00:00,BOG.Retiro-2,94.57407407407408,BOG
